state_slug,state_name,year,quarter,quarter_start_date,source_category,transaction_count,transaction_value_inr,source_file
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,2,2025-04-01,P2P,1943344,6083764058.930067,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,2,2025-04-01,Retail,3953793,2492429112.308087,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,2,2025-04-01,Utility,478132,317262267.1716582,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,3,2025-07-01,P2P,2062721,5987445028.796866,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,3,2025-07-01,Utility,484457,352059550.06020766,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,3,2025-07-01,Retail,4184644,2450833410.1140356,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/3.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,4,2025-10-01,P2P,2368365,6940894153.206369,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,4,2025-10-01,Retail,4719538,3006463522.8985558,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2025,4,2025-10-01,Utility,521632,430340132.5522865,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2025/4.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,1,2026-01-01,P2P,2444181,7309540774.152678,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,1,2026-01-01,Retail,4993199,3151423541.120183,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,1,2026-01-01,Utility,527121,466542074.37311816,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/1.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,2,2026-04-01,P2P,2318395,6919716967.907633,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,2,2026-04-01,Retail,4915599,3057475220.283496,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/2.json
andaman-&-nicobar-islands,Andaman & Nicobar Islands,2026,2,2026-04-01,Utility,519101,465102854.636179,data/aggregated/transaction/country/india/state/andaman-&-nicobar-islands/2026/2.json
andhra-pradesh,Andhra Pradesh,2018,1,2018-01-01,P2P,3470494,12240195598.365974,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/1.json
andhra-pradesh,Andhra Pradesh,2018,1,2018-01-01,Retail,6888562,1399789736.8780491,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/1.json
andhra-pradesh,Andhra Pradesh,2018,1,2018-01-01,Utility,503773,361085871.48101455,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/1.json
andhra-pradesh,Andhra Pradesh,2018,2,2018-04-01,P2P,5367902,23508496914.21012,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/2.json
andhra-pradesh,Andhra Pradesh,2018,2,2018-04-01,Retail,8191674,1997270127.222042,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/2.json
andhra-pradesh,Andhra Pradesh,2018,2,2018-04-01,Utility,1137792,849721558.6855456,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/2.json
andhra-pradesh,Andhra Pradesh,2018,3,2018-07-01,P2P,17848404,36912048477.86053,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/3.json
andhra-pradesh,Andhra Pradesh,2018,3,2018-07-01,Retail,9823208,2270015172.8517704,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/3.json
andhra-pradesh,Andhra Pradesh,2018,3,2018-07-01,Utility,1591118,1106629847.299339,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/3.json
andhra-pradesh,Andhra Pradesh,2018,4,2018-10-01,P2P,19562957,52891909539.82443,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/4.json
andhra-pradesh,Andhra Pradesh,2018,4,2018-10-01,Utility,1916648,1453941462.2139916,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/4.json
andhra-pradesh,Andhra Pradesh,2018,4,2018-10-01,Retail,14242724,3597313104.7495456,data/aggregated/transaction/country/india/state/andhra-pradesh/2018/4.json
andhra-pradesh,Andhra Pradesh,2019,1,2019-01-01,P2P,43527491,90765950511.21124,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/1.json
andhra-pradesh,Andhra Pradesh,2019,1,2019-01-01,Retail,21565529,5137363403.173556,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/1.json
andhra-pradesh,Andhra Pradesh,2019,1,2019-01-01,Utility,2888424,2138883952.82676,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/1.json
andhra-pradesh,Andhra Pradesh,2019,2,2019-04-01,P2P,41431019,132848849845.70235,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/2.json
andhra-pradesh,Andhra Pradesh,2019,2,2019-04-01,Retail,29006645,8789415469.061436,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/2.json
andhra-pradesh,Andhra Pradesh,2019,2,2019-04-01,Utility,2803995,3220818000.455343,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/2.json
andhra-pradesh,Andhra Pradesh,2019,3,2019-07-01,P2P,49997866,159660136797.86392,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/3.json
andhra-pradesh,Andhra Pradesh,2019,3,2019-07-01,Retail,38574125,12510521016.959248,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/3.json
andhra-pradesh,Andhra Pradesh,2019,3,2019-07-01,Utility,4461164,4869658117.274415,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/3.json
andhra-pradesh,Andhra Pradesh,2019,4,2019-10-01,P2P,73565940,228673344761.69086,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/4.json
andhra-pradesh,Andhra Pradesh,2019,4,2019-10-01,Retail,48905204,18839555775.579308,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/4.json
andhra-pradesh,Andhra Pradesh,2019,4,2019-10-01,Utility,8291836,6770993321.060511,data/aggregated/transaction/country/india/state/andhra-pradesh/2019/4.json
andhra-pradesh,Andhra Pradesh,2020,1,2020-01-01,P2P,86063489,293219560970.77124,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/1.json
andhra-pradesh,Andhra Pradesh,2020,1,2020-01-01,Retail,58613484,25753304148.447426,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/1.json
andhra-pradesh,Andhra Pradesh,2020,1,2020-01-01,Utility,14509601,9555197112.375233,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/1.json
andhra-pradesh,Andhra Pradesh,2020,2,2020-04-01,P2P,94711506,334281400440.19324,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/2.json
andhra-pradesh,Andhra Pradesh,2020,2,2020-04-01,Retail,58995509,32882376987.781883,data/aggregated/transaction/country/india/state/andhra-pradesh/2020/2.json
