state_slug,state_name,year,quarter,quarter_start_date,registered_count,source_file
bihar,Bihar,2020,4,2020-10-01,527212,data/aggregated/merchant/country/india/state/bihar/2020/4.json
bihar,Bihar,2021,1,2021-01-01,734157,data/aggregated/merchant/country/india/state/bihar/2021/1.json
bihar,Bihar,2021,2,2021-04-01,873547,data/aggregated/merchant/country/india/state/bihar/2021/2.json
bihar,Bihar,2021,3,2021-07-01,1100249,data/aggregated/merchant/country/india/state/bihar/2021/3.json
bihar,Bihar,2021,4,2021-10-01,1305682,data/aggregated/merchant/country/india/state/bihar/2021/4.json
bihar,Bihar,2022,1,2022-01-01,1548974,data/aggregated/merchant/country/india/state/bihar/2022/1.json
bihar,Bihar,2022,2,2022-04-01,1703453,data/aggregated/merchant/country/india/state/bihar/2022/2.json
bihar,Bihar,2022,3,2022-07-01,1848624,data/aggregated/merchant/country/india/state/bihar/2022/3.json
bihar,Bihar,2022,4,2022-10-01,1983316,data/aggregated/merchant/country/india/state/bihar/2022/4.json
bihar,Bihar,2023,1,2023-01-01,1998018,data/aggregated/merchant/country/india/state/bihar/2023/1.json
bihar,Bihar,2023,2,2023-04-01,2036559,data/aggregated/merchant/country/india/state/bihar/2023/2.json
bihar,Bihar,2023,3,2023-07-01,2114351,data/aggregated/merchant/country/india/state/bihar/2023/3.json
bihar,Bihar,2023,4,2023-10-01,2194129,data/aggregated/merchant/country/india/state/bihar/2023/4.json
bihar,Bihar,2024,1,2024-01-01,2272717,data/aggregated/merchant/country/india/state/bihar/2024/1.json
bihar,Bihar,2024,2,2024-04-01,2362109,data/aggregated/merchant/country/india/state/bihar/2024/2.json
bihar,Bihar,2024,3,2024-07-01,2458579,data/aggregated/merchant/country/india/state/bihar/2024/3.json
bihar,Bihar,2024,4,2024-10-01,2553973,data/aggregated/merchant/country/india/state/bihar/2024/4.json
bihar,Bihar,2025,1,2025-01-01,2640021,data/aggregated/merchant/country/india/state/bihar/2025/1.json
bihar,Bihar,2025,2,2025-04-01,2722198,data/aggregated/merchant/country/india/state/bihar/2025/2.json
bihar,Bihar,2025,3,2025-07-01,2811281,data/aggregated/merchant/country/india/state/bihar/2025/3.json
bihar,Bihar,2025,4,2025-10-01,2921494,data/aggregated/merchant/country/india/state/bihar/2025/4.json
bihar,Bihar,2026,1,2026-01-01,2994241,data/aggregated/merchant/country/india/state/bihar/2026/1.json
bihar,Bihar,2026,2,2026-04-01,3076811,data/aggregated/merchant/country/india/state/bihar/2026/2.json
chandigarh,Chandigarh,2018,2,2018-04-01,2,data/aggregated/merchant/country/india/state/chandigarh/2018/2.json
chandigarh,Chandigarh,2018,3,2018-07-01,6,data/aggregated/merchant/country/india/state/chandigarh/2018/3.json
chandigarh,Chandigarh,2018,4,2018-10-01,17,data/aggregated/merchant/country/india/state/chandigarh/2018/4.json
chandigarh,Chandigarh,2019,1,2019-01-01,6750,data/aggregated/merchant/country/india/state/chandigarh/2019/1.json
chandigarh,Chandigarh,2019,2,2019-04-01,15994,data/aggregated/merchant/country/india/state/chandigarh/2019/2.json
chandigarh,Chandigarh,2019,3,2019-07-01,18880,data/aggregated/merchant/country/india/state/chandigarh/2019/3.json
chandigarh,Chandigarh,2019,4,2019-10-01,21146,data/aggregated/merchant/country/india/state/chandigarh/2019/4.json
chandigarh,Chandigarh,2020,1,2020-01-01,24121,data/aggregated/merchant/country/india/state/chandigarh/2020/1.json
chandigarh,Chandigarh,2020,2,2020-04-01,25176,data/aggregated/merchant/country/india/state/chandigarh/2020/2.json
chandigarh,Chandigarh,2020,3,2020-07-01,28162,data/aggregated/merchant/country/india/state/chandigarh/2020/3.json
chandigarh,Chandigarh,2020,4,2020-10-01,31497,data/aggregated/merchant/country/india/state/chandigarh/2020/4.json
chandigarh,Chandigarh,2021,1,2021-01-01,34879,data/aggregated/merchant/country/india/state/chandigarh/2021/1.json
chandigarh,Chandigarh,2021,2,2021-04-01,37747,data/aggregated/merchant/country/india/state/chandigarh/2021/2.json
chandigarh,Chandigarh,2021,3,2021-07-01,39808,data/aggregated/merchant/country/india/state/chandigarh/2021/3.json
chandigarh,Chandigarh,2021,4,2021-10-01,41069,data/aggregated/merchant/country/india/state/chandigarh/2021/4.json
chandigarh,Chandigarh,2022,1,2022-01-01,42930,data/aggregated/merchant/country/india/state/chandigarh/2022/1.json
chandigarh,Chandigarh,2022,2,2022-04-01,44644,data/aggregated/merchant/country/india/state/chandigarh/2022/2.json
chandigarh,Chandigarh,2022,3,2022-07-01,46291,data/aggregated/merchant/country/india/state/chandigarh/2022/3.json
chandigarh,Chandigarh,2022,4,2022-10-01,47980,data/aggregated/merchant/country/india/state/chandigarh/2022/4.json
chandigarh,Chandigarh,2023,1,2023-01-01,47270,data/aggregated/merchant/country/india/state/chandigarh/2023/1.json
chandigarh,Chandigarh,2023,2,2023-04-01,48825,data/aggregated/merchant/country/india/state/chandigarh/2023/2.json
chandigarh,Chandigarh,2023,3,2023-07-01,49865,data/aggregated/merchant/country/india/state/chandigarh/2023/3.json
chandigarh,Chandigarh,2023,4,2023-10-01,50833,data/aggregated/merchant/country/india/state/chandigarh/2023/4.json
chandigarh,Chandigarh,2024,1,2024-01-01,52271,data/aggregated/merchant/country/india/state/chandigarh/2024/1.json
chandigarh,Chandigarh,2024,2,2024-04-01,53545,data/aggregated/merchant/country/india/state/chandigarh/2024/2.json
chandigarh,Chandigarh,2024,3,2024-07-01,54821,data/aggregated/merchant/country/india/state/chandigarh/2024/3.json
chandigarh,Chandigarh,2024,4,2024-10-01,56177,data/aggregated/merchant/country/india/state/chandigarh/2024/4.json
chandigarh,Chandigarh,2025,1,2025-01-01,57875,data/aggregated/merchant/country/india/state/chandigarh/2025/1.json
chandigarh,Chandigarh,2025,2,2025-04-01,59143,data/aggregated/merchant/country/india/state/chandigarh/2025/2.json
chandigarh,Chandigarh,2025,3,2025-07-01,60176,data/aggregated/merchant/country/india/state/chandigarh/2025/3.json
chandigarh,Chandigarh,2025,4,2025-10-01,61497,data/aggregated/merchant/country/india/state/chandigarh/2025/4.json
chandigarh,Chandigarh,2026,1,2026-01-01,62840,data/aggregated/merchant/country/india/state/chandigarh/2026/1.json
chandigarh,Chandigarh,2026,2,2026-04-01,64346,data/aggregated/merchant/country/india/state/chandigarh/2026/2.json
chhattisgarh,Chhattisgarh,2018,1,2018-01-01,10,data/aggregated/merchant/country/india/state/chhattisgarh/2018/1.json
chhattisgarh,Chhattisgarh,2018,2,2018-04-01,17,data/aggregated/merchant/country/india/state/chhattisgarh/2018/2.json
chhattisgarh,Chhattisgarh,2018,3,2018-07-01,27,data/aggregated/merchant/country/india/state/chhattisgarh/2018/3.json
chhattisgarh,Chhattisgarh,2018,4,2018-10-01,828,data/aggregated/merchant/country/india/state/chhattisgarh/2018/4.json
chhattisgarh,Chhattisgarh,2019,1,2019-01-01,23858,data/aggregated/merchant/country/india/state/chhattisgarh/2019/1.json
chhattisgarh,Chhattisgarh,2019,2,2019-04-01,48515,data/aggregated/merchant/country/india/state/chhattisgarh/2019/2.json
chhattisgarh,Chhattisgarh,2019,3,2019-07-01,65116,data/aggregated/merchant/country/india/state/chhattisgarh/2019/3.json
chhattisgarh,Chhattisgarh,2019,4,2019-10-01,82700,data/aggregated/merchant/country/india/state/chhattisgarh/2019/4.json
chhattisgarh,Chhattisgarh,2020,1,2020-01-01,99397,data/aggregated/merchant/country/india/state/chhattisgarh/2020/1.json
chhattisgarh,Chhattisgarh,2020,2,2020-04-01,105658,data/aggregated/merchant/country/india/state/chhattisgarh/2020/2.json
chhattisgarh,Chhattisgarh,2020,3,2020-07-01,120657,data/aggregated/merchant/country/india/state/chhattisgarh/2020/3.json
chhattisgarh,Chhattisgarh,2020,4,2020-10-01,153533,data/aggregated/merchant/country/india/state/chhattisgarh/2020/4.json
chhattisgarh,Chhattisgarh,2021,1,2021-01-01,185878,data/aggregated/merchant/country/india/state/chhattisgarh/2021/1.json
chhattisgarh,Chhattisgarh,2021,2,2021-04-01,198995,data/aggregated/merchant/country/india/state/chhattisgarh/2021/2.json
chhattisgarh,Chhattisgarh,2021,3,2021-07-01,234841,data/aggregated/merchant/country/india/state/chhattisgarh/2021/3.json
chhattisgarh,Chhattisgarh,2021,4,2021-10-01,278371,data/aggregated/merchant/country/india/state/chhattisgarh/2021/4.json
chhattisgarh,Chhattisgarh,2022,1,2022-01-01,321437,data/aggregated/merchant/country/india/state/chhattisgarh/2022/1.json
chhattisgarh,Chhattisgarh,2022,2,2022-04-01,353970,data/aggregated/merchant/country/india/state/chhattisgarh/2022/2.json
chhattisgarh,Chhattisgarh,2022,3,2022-07-01,390945,data/aggregated/merchant/country/india/state/chhattisgarh/2022/3.json
chhattisgarh,Chhattisgarh,2022,4,2022-10-01,425290,data/aggregated/merchant/country/india/state/chhattisgarh/2022/4.json
chhattisgarh,Chhattisgarh,2023,1,2023-01-01,443733,data/aggregated/merchant/country/india/state/chhattisgarh/2023/1.json
chhattisgarh,Chhattisgarh,2023,2,2023-04-01,457643,data/aggregated/merchant/country/india/state/chhattisgarh/2023/2.json
chhattisgarh,Chhattisgarh,2023,3,2023-07-01,476302,data/aggregated/merchant/country/india/state/chhattisgarh/2023/3.json
chhattisgarh,Chhattisgarh,2023,4,2023-10-01,494172,data/aggregated/merchant/country/india/state/chhattisgarh/2023/4.json
chhattisgarh,Chhattisgarh,2024,1,2024-01-01,518348,data/aggregated/merchant/country/india/state/chhattisgarh/2024/1.json
chhattisgarh,Chhattisgarh,2024,2,2024-04-01,542535,data/aggregated/merchant/country/india/state/chhattisgarh/2024/2.json
