date,year,month,quarter,payment_mode,volume_lakh,value_crore,source_resource_id
2020-07-25,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,75.45,2878.4,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-25,2020,7,Q3,UPI,466.6,7787.59,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-26,2020,7,Q3,IMPS,47.71,3467.98,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-26,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,56.61,1990.82,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-26,2020,7,Q3,UPI,414.17,5659.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-27,2020,7,Q3,IMPS,75.23,7929.13,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-27,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,92.04,3709.19,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-27,2020,7,Q3,UPI,501.87,9884.21,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-28,2020,7,Q3,IMPS,74.46,7873.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-28,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,86.04,3501.95,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-28,2020,7,Q3,UPI,497.54,9580.56,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-29,2020,7,Q3,IMPS,72.92,7737.04,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-29,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,86.11,3482.87,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-29,2020,7,Q3,UPI,488.78,9301.61,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-30,2020,7,Q3,IMPS,80.96,8745.55,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-30,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,98.07,4067.45,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-30,2020,7,Q3,UPI,525.93,10592.09,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-31,2020,7,Q3,IMPS,90.62,10248.32,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-31,2020,7,Q3,NFS_ATM_CASH_WITHDRAWAL,110.19,4872.92,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-07-31,2020,7,Q3,UPI,550.61,12399.97,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-01,2020,8,Q3,IMPS,84.69,8404.61,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-01,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,104.29,4612.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-01,2020,8,Q3,UPI,554.43,10981.35,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-02,2020,8,Q3,IMPS,65.67,5347.97,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-02,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,82.4,3270.73,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-02,2020,8,Q3,UPI,501.86,8082.04,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-03,2020,8,Q3,IMPS,81.23,8289.47,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-03,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,104.45,4226.64,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-03,2020,8,Q3,UPI,508.98,9804.57,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-04,2020,8,Q3,IMPS,84.43,9259.91,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-04,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,99.15,4526.65,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-04,2020,8,Q3,UPI,526.55,11230.53,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-05,2020,8,Q3,IMPS,83.36,8887.28,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-05,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,96.99,4339.99,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-05,2020,8,Q3,UPI,492.26,10226.47,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-06,2020,8,Q3,IMPS,84.6,8626.75,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-06,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,104.16,4629.47,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-06,2020,8,Q3,UPI,459.74,9517.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-07,2020,8,Q3,IMPS,86.54,9085.15,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-07,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,111.16,4913.26,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-07,2020,8,Q3,UPI,504.21,10464.83,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-08,2020,8,Q3,IMPS,77.43,7139.57,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-08,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,99.94,4293.32,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-08,2020,8,Q3,UPI,538.93,9938.8,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-09,2020,8,Q3,IMPS,59.3,4529.82,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-09,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,73.28,2855.34,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-09,2020,8,Q3,UPI,440.12,6578.76,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-10,2020,8,Q3,IMPS,93.32,9889.43,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-10,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,119.98,5165.17,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-10,2020,8,Q3,UPI,511.87,10388.9,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-11,2020,8,Q3,IMPS,86.35,8468.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-11,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,114.06,4880.5,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-11,2020,8,Q3,UPI,578.27,11411.04,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-12,2020,8,Q3,IMPS,81.66,7844.86,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-12,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,102.36,4314.02,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-12,2020,8,Q3,UPI,558.47,10962.22,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-13,2020,8,Q3,IMPS,81.31,8194.45,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-13,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,98.22,4138.43,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-13,2020,8,Q3,UPI,539.19,10585.91,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-14,2020,8,Q3,IMPS,82.18,8104.78,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-14,2020,8,Q3,NFS_ATM_CASH_WITHDRAWAL,105.88,4374.93,1f9367ac-01b0-4c82-83a1-4069d4340667
2020-08-14,2020,8,Q3,UPI,539.34,10316.23,1f9367ac-01b0-4c82-83a1-4069d4340667
